State  Recv-Q Send-Q                     Local Address:Port   Peer Address:Port Process                                                                         
LISTEN 0      10                         192.168.1.112:53          0.0.0.0:*                                                                                    
LISTEN 0      10                            10.20.30.1:53          0.0.0.0:*                                                                                    
LISTEN 0      10                             127.0.0.1:53          0.0.0.0:*                                                                                    
LISTEN 0      128                              0.0.0.0:22          0.0.0.0:*                                                                                    
LISTEN 0      100                              0.0.0.0:25          0.0.0.0:*                                                                                    
LISTEN 0      4096                           127.0.0.1:953         0.0.0.0:*                                                                                    
LISTEN 0      100                              0.0.0.0:993         0.0.0.0:*                                                                                    
LISTEN 0      100                              0.0.0.0:995         0.0.0.0:*                                                                                    
LISTEN 0      100                              0.0.0.0:110         0.0.0.0:*                                                                                    
LISTEN 0      100                              0.0.0.0:143         0.0.0.0:*                                                                                    
LISTEN 0      4096                             0.0.0.0:10000       0.0.0.0:*                                                                                    
LISTEN 0      128                                    *:21                *:*                                                                                    
LISTEN 0      10     [fe80::a00:27ff:fed6:d36b]%enp0s3:53             [::]:*                                                                                    
LISTEN 0      10                                 [::1]:53             [::]:*                                                                                    
LISTEN 0      128                                 [::]:22             [::]:*                                                                                    
LISTEN 0      256                                    *:3128              *:*                                                                                    
LISTEN 0      511                                    *:8888              *:*                                                                                    
LISTEN 0      100                                 [::]:25             [::]:*                                                                                    
LISTEN 0      4096                               [::1]:953            [::]:*                                                                                    
LISTEN 0      100                                 [::]:993            [::]:*                                                                                    
LISTEN 0      511                                    *:7777              *:*                                                                                    
LISTEN 0      100                                 [::]:995            [::]:*                                                                                    
LISTEN 0      100                                 [::]:110            [::]:*                                                                                    
LISTEN 0      100                                 [::]:143            [::]:*                                                                                    
LISTEN 0      511                                    *:80                *:*                                                                                    
